City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Inyonga,TZ,2022-01-31 05:38:08,-6.7167,32.0667,66.45,90,100,2.19
141,Nouadhibou,MR,2022-01-31 05:38:09,20.931,-17.0347,64.38,77,100,17.27
142,Betsiamites,CA,2022-01-31 05:38:09,48.9413,-68.646,10.29,91,69,7.45
143,Coquimbo,CL,2022-01-31 05:33:16,-29.9533,-71.3436,62.33,88,0,3.44
144,Kimbe,PG,2022-01-31 05:38:10,-5.5502,150.1429,81.59,81,98,4.29
145,Portland,US,2022-01-31 05:35:45,45.5234,-122.6762,45.36,89,100,1.01
146,Conceicao Da Barra,BR,2022-01-31 05:33:52,-18.5933,-39.7322,76.15,85,58,7.92
147,Thyolo,MW,2022-01-31 05:38:10,-16.0678,35.1405,69.82,84,9,1.41
148,Ouesso,CG,2022-01-31 05:38:10,1.6136,16.0517,67.57,38,66,2.77
149,Codrington,AU,2022-01-31 05:38:11,-38.2667,141.9667,75.58,66,2,11.61
150,Chibuto,MZ,2022-01-31 05:38:11,-24.6867,33.5306,78.98,62,97,4.56
151,La Ronge,CA,2022-01-31 05:38:11,55.1001,-105.2842,8.85,92,100,4.61
152,Melilla,ES,2022-01-31 05:38:12,35.2937,-2.9383,55.78,82,0,5.75
153,Laiyang,CN,2022-01-31 05:38:12,36.9758,120.7136,36.59,35,33,16.08
154,Biak,ID,2022-01-31 05:38:13,-0.9131,122.8766,87.48,56,77,9.06
155,Vila Franca Do Campo,PT,2022-01-31 05:37:20,37.7167,-25.4333,58.19,81,75,14.34
156,Matara,LK,2022-01-31 05:38:13,5.9485,80.5353,85.8,64,15,5.7
157,Santa Catarina De Tepehuanes,MX,2022-01-31 05:38:14,25.35,-105.7333,43.77,71,9,5.64
158,Agadez,NE,2022-01-31 05:38:14,19.75,10.25,45.27,26,2,10.31
159,Tuatapere,NZ,2022-01-31 05:38:14,-46.1333,167.6833,63.82,82,97,4.45
160,Miramar,US,2022-01-31 05:38:15,25.9873,-80.2323,51.06,63,0,6.91
161,Wichita Falls,US,2022-01-31 05:38:15,33.9137,-98.4934,49.26,37,0,5.75
162,Esso,RU,2022-01-31 05:38:16,55.9333,158.7,9.1,100,94,1.16
163,Sabzevar,IR,2022-01-31 05:38:16,36.2126,57.6819,31.28,55,0,11.5
164,Saint-Pierre,RE,2022-01-31 05:38:16,-21.3393,55.4781,83.84,78,75,19.57
165,Ponta Do Sol,PT,2022-01-31 05:38:17,32.6667,-17.1,64.0,77,0,10.4
166,Vao,NC,2022-01-31 05:38:17,-22.6667,167.4833,79.72,78,56,2.8
167,Wagar,SD,2022-01-31 05:38:17,16.1525,36.2032,68.2,62,1,9.28
168,Kytmanovo,RU,2022-01-31 05:38:17,53.4593,85.4479,8.29,93,70,2.26
169,Boa Viagem,BR,2022-01-31 05:38:18,-5.1275,-39.7322,71.13,93,64,0.58
170,Mount Isa,AU,2022-01-31 05:33:36,-20.7333,139.5,78.57,94,75,11.5
171,Srednekolymsk,RU,2022-01-31 05:38:18,67.45,153.6833,-30.26,100,97,4.25
172,Lanja,IN,2022-01-31 05:38:19,16.85,73.55,93.09,24,0,1.83
173,Chara,RU,2022-01-31 05:38:19,56.9064,118.2631,-11.0,97,83,1.41
174,Nome,US,2022-01-31 05:38:19,64.5011,-165.4064,-2.13,65,0,4.61
175,Olenegorsk,RU,2022-01-31 05:38:20,68.15,33.3,-1.73,100,95,1.97
176,Beringovskiy,RU,2022-01-31 05:38:20,63.05,179.3167,-2.07,96,100,11.03
177,Faanui,PF,2022-01-31 05:38:21,-16.4833,-151.75,80.94,72,6,9.35
178,Cabo San Lucas,MX,2022-01-31 05:35:21,22.8909,-109.9124,70.52,77,88,1.99
179,Longyearbyen,SJ,2022-01-31 05:39:21,78.2186,15.6401,2.71,80,98,6.31
180,Beloha,MG,2022-01-31 05:39:21,-25.1667,45.05,83.25,45,20,10.98
181,Chuy,UY,2022-01-31 05:39:22,-33.6971,-53.4616,67.68,92,0,8.14
182,Ayagoz,KZ,2022-01-31 05:39:22,47.9714,80.4392,15.24,91,99,2.37
183,Parede,PT,2022-01-31 05:39:22,38.6928,-9.3541,55.74,40,0,5.99
184,Luanda,AO,2022-01-31 05:39:23,-8.8368,13.2343,77.0,88,75,5.75
185,Mount Gambier,AU,2022-01-31 05:39:23,-37.8333,140.7667,89.51,29,2,13.8
186,Luzilandia,BR,2022-01-31 05:39:23,-3.4578,-42.3703,70.65,85,34,3.94
187,Dinard,FR,2022-01-31 05:39:24,48.6314,-2.0614,48.63,76,75,21.85
188,Lebu,CL,2022-01-31 05:39:24,-37.6167,-73.65,55.4,77,0,20.07
189,Zhigansk,RU,2022-01-31 05:39:24,66.7697,123.3711,-28.62,99,96,2.24
190,Vardo,NO,2022-01-31 05:39:25,70.3705,31.1107,21.4,74,55,15.43
191,La Palma,US,2022-01-31 05:39:25,33.8464,-118.0467,58.82,75,0,3.44
192,Severo-Kurilsk,RU,2022-01-31 05:39:25,50.6789,156.125,28.56,81,98,14.2
193,Kargasok,RU,2022-01-31 05:39:26,59.0556,80.8572,11.19,94,96,7.34
194,Nikolskoye,RU,2022-01-31 05:39:26,59.7035,30.7861,26.49,97,100,4.65
195,Dunedin,NZ,2022-01-31 05:39:26,-45.8742,170.5036,64.26,81,42,10.74
196,Yarada,IN,2022-01-31 05:39:27,17.65,83.2667,77.52,58,4,3.58
197,Griffith,US,2022-01-31 05:39:27,41.5284,-87.4237,28.51,68,100,0.0
198,Thompson,CA,2022-01-31 05:39:27,55.7435,-97.8558,-5.64,84,75,4.61
199,Rorvik,NO,2022-01-31 05:39:28,64.8621,11.2373,26.71,93,0,6.91
200,Lompoc,US,2022-01-31 05:39:28,34.6391,-120.4579,54.93,82,28,17.0
201,Cayenne,GF,2022-01-31 05:39:28,4.9333,-52.3333,79.09,88,75,4.0
202,Tambo,PE,2022-01-31 05:39:29,-14.8,-73.9167,34.72,91,100,3.04
203,Tinqueux,FR,2022-01-31 05:39:29,49.25,3.9833,42.04,81,100,19.24
204,Luderitz,NA,2022-01-31 05:39:29,-26.6481,15.1594,64.24,90,66,5.66
205,Geraldton,AU,2022-01-31 05:39:29,-28.7667,114.6,84.61,51,0,23.02
